# detrended lc with Rbf (quintic, 100)
# t, f, x, y
3082.122513 1.000401 0.999870 0.999965
3082.142946 1.000417 0.999868 0.999964
3082.163380 1.000397 0.999871 0.999964
3082.183814 1.000421 0.999874 0.999964
3082.204247 1.000434 0.999877 0.999964
3082.224681 1.000463 0.999880 0.999964
3082.245114 1.000406 0.999884 0.999964
3082.265548 1.000576 0.999888 0.999965
3082.285981 1.000463 0.999897 0.999965
3082.306415 1.000449 0.999897 0.999967
3082.326849 1.000532 0.999901 0.999966
3082.347282 1.000443 0.999911 0.999967
3082.367716 1.000652 0.999909 0.999966
3082.388150 1.000526 0.999914 0.999968
3082.408583 1.000552 0.999918 0.999969
3082.429017 1.000712 0.999921 0.999968
3082.449450 1.000590 0.999927 0.999969
3082.490318 1.000434 0.999847 0.999963
3082.510751 1.000355 0.999851 0.999964
3082.531185 1.000514 0.999849 0.999961
3082.551618 1.000454 0.999851 0.999962
3082.572052 1.000364 0.999855 0.999964
3082.592486 1.000434 0.999859 0.999965
3082.612919 1.000440 0.999857 0.999965
3082.633353 1.000410 0.999858 0.999964
3082.653786 1.000302 0.999860 0.999965
3082.674220 1.000460 0.999858 0.999962
3082.694654 1.000397 0.999868 0.999964
3082.715087 0.999978 0.999877 0.999963
3082.735521 0.989090 1.000003 1.000010
3082.755954 0.985562 1.000048 1.000028
3082.776388 0.988970 1.000006 1.000011
3082.796822 0.999989 0.999883 0.999962
3082.817255 1.000418 0.999879 0.999962
3082.837689 1.000479 0.999876 0.999962
3082.858122 1.000328 0.999875 0.999962
3082.878556 1.000519 0.999874 0.999960
3082.898990 1.000573 0.999875 0.999961
3082.919423 1.000542 0.999879 0.999960
3082.939857 1.000385 0.999880 0.999961
3082.960290 1.000403 0.999883 0.999962
3082.980724 1.000559 0.999879 0.999961
3083.062458 1.000515 0.999893 0.999963
3083.082892 1.000516 0.999887 0.999964
3083.103326 1.000376 0.999890 0.999963
3083.123759 1.000454 0.999891 0.999963
3083.144193 1.000493 0.999893 0.999962
3083.164626 1.000376 0.999897 0.999964
