# Time, flux, Xc, Yc
3.077116280119866133e+03 4.215772000000000000e+06 5.749935233689108145e+02 9.684612156444893571e+02
3.077136713719926775e+03 4.216614000000000000e+06 5.749977942016982979e+02 9.684604348417948358e+02
3.077157147219870239e+03 4.215676000000000000e+06 5.750055412228074374e+02 9.684613969384744223e+02
3.077177580920048058e+03 4.215858000000000000e+06 5.750084556927675976e+02 9.684619621913261653e+02
3.077198014520108700e+03 4.216231000000000000e+06 5.750125735520657599e+02 9.684627177685473498e+02
3.077218448120169342e+03 4.216000000000000000e+06 5.750157037476280948e+02 9.684635453036053150e+02
3.077238881720229983e+03 4.216484000000000000e+06 5.750212954679775521e+02 9.684636687818571090e+02
3.077259315319824964e+03 4.215994000000000000e+06 5.750257856154444198e+02 9.684660277030754969e+02
3.077279748919885606e+03 4.216284000000000000e+06 5.750317424063464387e+02 9.684655836751035167e+02
3.077300182519946247e+03 4.216436000000000000e+06 5.750357389510951407e+02 9.684671030225526920e+02
3.077320616120006889e+03 4.216227000000000000e+06 5.750384879656621706e+02 9.684684778594701129e+02
3.077341049619950354e+03 4.216343000000000000e+06 5.750422980293585624e+02 9.684689461934192423e+02
3.077361483320128173e+03 4.216296000000000000e+06 5.750454206725523818e+02 9.684696657919653262e+02
3.077381916920188814e+03 4.216505000000000000e+06 5.750485086582370968e+02 9.684704135296886989e+02
3.077402350420132279e+03 4.216592000000000000e+06 5.750503790739061287e+02 9.684698849212824143e+02
3.077422784119844437e+03 4.216788000000000000e+06 5.750550063223477082e+02 9.684700264751274972e+02
3.077443217719905078e+03 4.216364000000000000e+06 5.750614524742171625e+02 9.684717500671193875e+02
3.077463651219848543e+03 4.181951000000000000e+06 5.751193105801573893e+02 9.685063605479834905e+02
3.077484084920026362e+03 4.154490000000000000e+06 5.751667087897671991e+02 9.685341033436113776e+02
3.077504518520087004e+03 4.159204000000000000e+06 5.751651695853340698e+02 9.685302014520085550e+02
3.077524952020030469e+03 4.206582000000000000e+06 5.750959177783768155e+02 9.684829239035396995e+02
3.077545385720208287e+03 4.216263000000000000e+06 5.750839931000509750e+02 9.684735456493107222e+02
